"","mz","mzmax","mzmin","intensity"
"1",168.835057961262,168.832976603475,168.83661900486,14474342
"2",170.832017225107,170.829898831636,170.833606046069,20827324
"3",172.828578705974,172.826423058493,172.830734393786,9554082
"4",242.175802014546,242.172226425752,242.17848375811,39229240
"5",265.147428071029,265.143331861472,265.151524375511,77684800
"6",266.150779945433,266.146660462973,266.154899523538,10828168
"7",278.152690363241,278.148289107242,278.155991373796,13647124
"8",283.061495803297,283.056977525982,283.064884582281,21058424
"9",293.179497735413,293.174735049956,293.18306982567,22376980
"10",297.153156283242,297.148296434573,297.156801247984,9660057
"11",299.056445422624,299.051538808753,299.061352157253,21098366
"12",311.168920147292,311.16371244456,311.172826010138,33278808
"13",325.144515996121,325.138953535261,325.148687935442,92718944
"14",325.183472067588,325.177908607409,325.187644756422,30322698
"15",326.148056922747,326.142468688832,326.152248192439,19146294
"16",337.108674373824,337.102802087947,337.113078688929,67834208
"17",338.112211967674,338.106313442201,338.118110647506,16708786
"18",339.124283853048,339.118358814956,339.130209046425,67068236
"19",339.199890790267,339.193963771893,339.204336155999,21136038
"20",340.126375610634,340.120424291311,340.130839202634,13672329
"21",393.208084202022,393.200686674454,393.215481938355,36240512
"22",394.21027608343,394.202850249077,394.215845596895,11088146
"23",401.188989854028,401.18136595589,401.194707920251,99689632
"24",402.191639915132,402.183987422353,402.19737942805,24384270
"25",403.185876169798,403.178195268445,403.193557290646,28099850
"26",409.201869157508,409.194015721753,409.207759382697,15555974
"27",410.206631069498,409.152733032416,412.230370107278,15555974
"28",411.217910319412,411.209998776605,411.223844126355,14159080
"29",417.184005228221,417.175920883426,417.190068641035,26325994
"30",421.227047318475,421.218845167141,421.233199089196,8068665.5
"31",461.269135106498,461.259736034791,461.278534465494,332506016
"32",462.273927772302,462.264497966194,462.283357866953,110846384
"33",463.275266722564,463.265806265254,463.284727469669,20014994
"34",242.175779817708,242.172204229253,242.178461561018,36291508
"35",265.147434542961,265.143338333793,265.151530847055,56353644
"36",278.152626163181,278.1482249076,278.155927173423,12091459
"37",283.061448227898,283.056929951011,283.06483700656,16224042
"38",293.179511099104,293.174748414098,293.183083189021,17333872
"39",297.153246950238,297.148387102031,297.156891914635,8453052
"40",299.056476844396,299.05157023099,299.06138357856,22206992
"41",311.168893223323,311.163685521084,311.172799085798,24672284
"42",325.144483830169,325.138921369837,325.148655769094,77402888
"43",325.1834435152,325.177880055548,325.187616203638,23034118
"44",326.148044778178,326.142456544793,326.152236047473,15577709
"45",337.108668193709,337.102795908388,337.113072508396,76885344
"46",338.112135948431,338.106237423517,338.116559943413,14444621
"47",339.124214966825,339.118289929295,339.13014015964,74612144
"48",339.199791192453,339.193864174641,339.204236557763,16514018
"49",340.126378151217,340.120426832459,340.130841742793,15603867
