"","mz","mzmax","mzmin","intensity"
"1",285.076007486879,285.071440869966,285.079432521575,24231002
"2",289.104975708779,289.100311942717,289.108473607386,7822405
"3",299.164608082621,299.159698792685,299.168290129377,17419312
"4",307.057188913436,307.05208407752,307.062293876656,22158594
"5",337.104587915078,337.098715725828,337.10899215771,28876614
"6",339.122192661411,339.116267682523,339.12663649748,9056112
"7",339.159125231969,339.153199282481,339.16356979601,6887044
"8",349.140357194595,349.134167738611,349.146546815171,22197264
"9",353.138682692775,353.132386609301,353.143404865882,20333546
"10",363.120255476854,363.113690577143,363.125179268474,43036180
"11",364.123546916009,364.116954791217,364.128491127086,8779470
"12",365.13593997877,365.111081879941,366.104306647889,17093496
"13",367.226757642132,367.220081067425,367.231765192655,35331796
"14",368.230298751117,368.223594789371,368.235326842573,9247204
"15",389.208408350017,389.201123422327,389.213872180012,147755168
"16",390.211976874903,390.204663751369,390.217461852473,38605792
"17",395.221750474599,395.214296065911,395.227341419521,22643264
"18",405.182784081472,405.155702069037,405.209868807256,105012272
"19",406.186730571355,405.2969454956,406.208090342398,27085442
"20",417.203819548425,417.195734657989,417.209883370484,41159096
"21",421.177451951394,421.171301425728,421.183602611789,36197564
"22",422.181791532012,422.175618993507,422.18796420589,9484178
"23",433.177704467595,433.17128921846,433.184119859245,30033136
"24",434.180231695196,434.173794162514,434.186669371054,7690798.5
"25",463.28434685889,463.274886169014,463.291442566479,72360464
"26",464.288836310123,464.279344835158,464.298328076149,22824918
"27",485.267087508402,485.256945535617,485.277229799145,107617984
"28",486.270220029766,486.260046594424,486.277850315794,33381122
"29",501.239740008318,501.229093216177,501.247725325045,43248876
"30",502.24450222365,502.233823395398,502.252511568353,13668528
"31",689.272386777796,689.255218135738,689.285263680314,14413908
"32",701.273062419815,701.25544344424,701.286277087259,15706459
"33",702.274258733276,702.256602021666,702.28750170399,6524784
"34",729.341119486138,729.322432218091,729.355135408516,35285712
"35",730.342337438078,730.323611692506,730.356382219894,16502442
"36",755.42673328439,755.407034569576,755.441507826162,9635508
"37",757.336141346371,757.316367895859,757.350971942476,36063088
"38",758.340811987488,758.320999183323,758.360625568142,16673281
"39",769.335959089351,769.315713814934,769.351143569617,22107934
"40",770.339111175944,770.318826292026,770.354325364705,11285219
"41",771.425880529687,771.400470880134,771.451291846499,7905939.5
"42",811.418112206428,811.396183338394,811.43455944085,14162203
"43",812.422338061492,812.400368472947,812.438815837743,8092017
"44",825.395102757065,825.372604858099,825.417601575911,21698264
"45",826.402532694753,826.379993582025,826.419437634442,11794903
"46",827.401280570805,827.373055758924,827.423861460206,5884189
"47",837.397835899394,837.374845479137,837.415079335939,12096287
"48",879.481955118376,879.457210004271,879.500514639331,18175314
"49",880.485110189629,880.460322730795,880.503701470694,12820383
"50",947.544753249241,947.517080750589,947.565508418793,12552487
"51",948.548464355292,948.520747865784,948.569252519672,7244137.5
"52",285.075892935564,285.071326320899,285.079317968573,30272428
"53",299.164499447801,299.159590160283,299.168181492743,22449082
"54",301.140516782362,301.135558777399,301.145474909772,7085013
"55",307.058213494321,307.053108629094,307.063318486855,14471539
"56",337.104518635764,337.098646449406,337.108922876227,33608832
"57",339.123460933521,339.117535918731,339.127904796518,8611977
"58",339.159048233642,339.153122287073,339.163492795494,7390276.5
"59",349.141675660706,349.135486166623,349.147865319382,13838052
"60",353.078775131397,353.072480650362,353.083496102637,9214754
